,Node,AS_Path_Access_Lists,Authentication_Key_Chains,Community_Match_Exprs,Community_Set_Exprs,Community_Set_Match_Exprs,Community_Sets,Configuration_Format,DNS_Servers,DNS_Source_Interface,Default_Cross_Zone_Action,Default_Inbound_Action,Domain_Name,Hostname,IKE_Phase1_Keys,IKE_Phase1_Policies,IKE_Phase1_Proposals,IP6_Access_Lists,IP_Access_Lists,IPsec_Peer_Configs,IPsec_Phase2_Policies,IPsec_Phase2_Proposals,Interfaces,Logging_Servers,Logging_Source_Interface,NTP_Servers,NTP_Source_Interface,PBR_Policies,Route6_Filter_Lists,Route_Filter_Lists,Routing_Policies,SNMP_Source_Interface,SNMP_Trap_Servers,TACACS_Servers,TACACS_Source_Interface,VRFs,Zones
0,ce2,[],[],[],[],[],[],CISCO_IOS,[],,PERMIT,PERMIT,arinsnetwork,ce2,[],[],[],[],[],[],[],[],"['Ethernet0/0', 'Ethernet0/1', 'Ethernet0/2', 'Ethernet0/3']",[],,[],,[],[],[],[],,[],[],,['default'],[]
1,ce1,[],[],[],[],[],[],CISCO_IOS,[],,PERMIT,PERMIT,arinsnetwork,ce1,[],[],[],[],[],[],[],[],"['Ethernet0/0', 'Ethernet0/1', 'Ethernet0/2', 'Ethernet0/3']",[],,[],,[],[],[],[],,[],[],,['default'],[]
2,p1,[],[],[],[],[],[],CISCO_IOS,[],,PERMIT,PERMIT,arinsnetwork,p1,[],[],[],[],[],[],[],[],"['Ethernet0/0', 'Ethernet0/1', 'Ethernet0/2', 'Ethernet0/3']",[],,[],,[],[],[],[],,[],[],,['default'],[]
3,xr2,[],[],[],[],[],[],CISCO_IOS_XR,[],,PERMIT,PERMIT,,xr2,[],[],[],[],[],[],[],[],"['GigabitEthernet0/0/0/0', 'GigabitEthernet0/0/0/1', 'GigabitEthernet0/0/0/2', 'GigabitEthernet0/0/0/3', 'GigabitEthernet0/0/0/4', 'GigabitEthernet0/0/0/5', 'GigabitEthernet0/0/0/6', 'MgmtEth0/0/CPU0/0']",[],,[],,[],[],[],[],,[],[],,"['default', 'mgmt']",[]
4,xr1,[],[],[],[],[],[],CISCO_IOS_XR,[],,PERMIT,PERMIT,,xr1,[],[],[],[],[],[],[],[],"['GigabitEthernet0/0/0/0', 'GigabitEthernet0/0/0/1', 'GigabitEthernet0/0/0/2', 'GigabitEthernet0/0/0/3', 'GigabitEthernet0/0/0/4', 'GigabitEthernet0/0/0/5', 'GigabitEthernet0/0/0/6', 'MgmtEth0/0/CPU0/0']",[],,[],,[],[],[],[],,[],[],,"['default', 'mgmt']",[]
